Listing Id,Minimum Nights,Maximum Nights,Calendar Updated,Availability 30,Availability 60,Availability 90,Availability 365
66378,1,1125,5 weeks ago,8,26,44,112
66379,5,13,11 months ago,0,0,0,0
66380,10,31,6 weeks ago,0,0,0,117
66381,1,7,4 weeks ago,30,60,90,365
66382,2,31,yesterday,10,29,59,59
66383,2,30,1 week ago,9,30,55,55
66384,2,1125,2 days ago,6,29,59,334
66385,2,1125,a week ago,12,20,46,130
66386,1,10,yesterday,4,24,54,329
66387,3,30,3 weeks ago,0,6,11,22
66388,1,1125,2 days ago,3,9,36,219
66389,1,1125,3 months ago,0,0,0,0
66390,2,1125,4 days ago,5,20,44,183
66391,14,1125,3 days ago,2,32,62,337
66392,2,1125,8 months ago,0,0,0,0
66393,1,1125,a week ago,4,22,49,319
66394,5,11,9 months ago,0,0,0,0
66395,7,20,2 weeks ago,1,29,59,334
66396,1,1125,today,0,0,0,0
66397,1,1125,3 days ago,9,11,41,316
66398,2,6,3 weeks ago,0,0,0,0
66399,14,1125,21 months ago,0,0,0,0
66400,21,21,yesterday,0,24,24,55
66401,2,30,3 months ago,0,0,0,0
66402,1,1125,yesterday,15,23,52,302
66403,1,1125,5 weeks ago,0,0,4,219
66404,1,1125,2 days ago,12,12,36,36
66405,10,360,5 months ago,0,0,0,24
66406,1,1125,5 months ago,0,0,0,34
66407,1,1125,4 weeks ago,30,60,90,365
66408,1,1125,4 weeks ago,0,0,0,0
66409,1,1125,7 months ago,30,60,90,365
66410,1,7,3 weeks ago,24,54,84,359
66411,1,25,a week ago,27,57,87,362
66412,2,1125,today,11,12,39,39
66413,1,1125,10 months ago,0,0,0,0
66414,2,10,today,14,44,74,349
66415,1,1125,3 days ago,0,0,0,0
66416,1,365,a week ago,30,60,90,365
66417,2,21,today,0,0,2,207
66418,1,180,yesterday,8,11,40,193
66419,28,1125,6 days ago,0,0,0,275
66420,2,1125,2 weeks ago,12,33,63,338
66421,7,1125,3 days ago,1,1,3,36
66422,1,10,a week ago,0,0,0,0
66423,1,1125,3 months ago,23,53,83,83
66424,3,1125,a week ago,13,24,52,311
66425,1,1125,5 months ago,0,0,0,0
66426,2,1125,3 days ago,19,43,73,104
66427,3,10,5 weeks ago,9,39,69,344
66428,1,1125,a week ago,30,60,90,365
66429,1,1125,5 months ago,0,0,0,244
66430,2,28,a week ago,0,3,3,28
66431,1,29,today,28,58,88,363
66432,3,365,today,4,19,19,141
66433,1,30,today,5,8,26,38
66434,5,1125,3 weeks ago,21,51,81,111
66435,2,1125,2 months ago,0,0,0,67
66436,1,5,5 months ago,0,0,0,0
66437,6,1125,3 days ago,6,6,36,311
66438,1,365,5 weeks ago,0,0,0,234
66439,2,1125,today,0,0,0,0
66440,1,1125,4 weeks ago,1,2,3,137
66441,5,21,a week ago,8,22,29,29
66442,7,1125,11 months ago,27,57,87,362
66443,2,200,4 days ago,11,41,67,208
66444,3,7,3 weeks ago,29,29,29,29
66445,1,1125,yesterday,7,37,67,99
66446,30,1125,2 weeks ago,0,0,0,275
66447,5,1125,17 months ago,0,0,0,0
66448,1,1125,16 months ago,0,0,0,0
66449,2,30,4 weeks ago,21,51,81,356
66450,2,1125,today,0,0,0,0
66451,4,90,today,20,39,56,319
66452,3,1125,a week ago,0,1,1,215
66453,3,1125,3 weeks ago,10,31,61,61
66454,1,1125,14 months ago,0,0,0,0
66455,15,1125,2 weeks ago,25,39,39,119
66456,14,35,3 months ago,28,58,88,88
66457,1,1125,2 days ago,7,16,25,35
66458,1,1125,5 months ago,0,0,0,0
66459,1,15,3 months ago,30,60,90,365
66460,1,1125,3 weeks ago,26,26,26,70
66461,1,1125,4 months ago,29,59,89,89
66462,1,1125,5 weeks ago,28,58,88,363
66463,3,1125,a week ago,4,10,19,222
66464,2,1125,today,9,20,33,298
66465,3,1125,a week ago,2,9,14,238
66466,2,29,3 days ago,4,14,41,298
66467,3,1125,16 months ago,0,0,0,0
66468,1,1125,4 months ago,0,0,0,0
66469,2,21,7 months ago,0,0,0,0
66470,2,1125,9 months ago,0,0,0,0
66471,4,31,3 days ago,25,55,84,88
66472,2,8,yesterday,20,50,79,97
66473,1,1125,5 months ago,0,0,0,0
66474,1,1125,8 months ago,0,0,0,0
66475,2,1125,2 months ago,0,0,0,0
66476,1,1125,12 months ago,0,0,0,0
66477,1,1125,24 months ago,0,0,0,0
66478,3,19,a week ago,11,28,46,287
66479,3,1125,yesterday,5,16,16,137
66480,5,1125,4 days ago,9,9,11,50
66481,30,1125,3 weeks ago,12,12,12,267
66482,7,30,3 months ago,30,60,90,365
66483,2,5,5 months ago,0,0,0,0
66484,1,14,3 days ago,1,10,22,250
66485,3,365,3 weeks ago,17,47,65,155
66486,2,21,5 days ago,0,16,40,120
66487,3,1125,3 months ago,0,0,0,0
66488,2,1125,3 weeks ago,1,31,61,336
66489,1,365,2 weeks ago,11,35,62,88
66490,2,1125,2 months ago,29,59,89,364
66491,1,1125,7 months ago,30,60,90,365
66492,1,1125,3 days ago,22,52,82,220
66493,1,1125,14 months ago,0,0,0,0
66494,1,20,5 days ago,24,54,82,347
66495,1,1125,2 weeks ago,0,1,19,235
66496,3,365,3 weeks ago,16,41,71,158
66497,1,180,a week ago,7,23,39,299
66498,2,1125,2 weeks ago,7,33,59,334
66499,1,1125,today,24,54,84,295
66500,2,4,11 months ago,0,0,0,0
66501,2,26,5 weeks ago,30,60,90,365
66502,4,29,yesterday,0,9,10,10
66503,1,1125,14 months ago,0,0,0,0
66504,4,1125,4 weeks ago,10,31,61,336
66505,30,180,2 months ago,0,0,0,90
66506,2,1125,3 months ago,0,0,0,0
66507,4,1125,4 months ago,27,57,87,362
66508,4,14,a week ago,6,16,34,75
66509,2,7,5 months ago,0,0,0,0
66510,2,14,3 months ago,0,0,0,118
66511,3,29,today,15,45,75,165
66512,1,1125,4 days ago,13,38,68,343
66513,1,1125,4 months ago,30,53,83,358
66514,3,1125,yesterday,6,18,39,303
66515,2,1125,today,0,0,0,0
66516,1,1125,4 months ago,0,0,2,277
66517,3,30,2 days ago,4,28,52,317
66518,2,100,2 weeks ago,0,0,0,0
66519,3,1125,yesterday,3,21,51,87
66520,3,12,3 weeks ago,23,53,83,173
66521,14,1125,a week ago,29,30,30,116
66522,4,13,7 weeks ago,3,3,3,9
66523,1,1125,yesterday,13,43,73,73
66524,3,1125,5 months ago,0,0,0,0
66525,1,1125,4 months ago,0,0,0,0
66526,2,1125,4 months ago,29,59,89,364
66527,1,25,a week ago,2,6,36,311
66528,2,365,5 weeks ago,30,60,90,365
66529,1,1125,today,9,33,59,149
66530,1,1125,6 days ago,1,5,9,200
66531,2,1125,17 months ago,0,0,0,0
66532,6,40,today,1,1,1,45
66533,1,900,2 weeks ago,6,9,33,306
66534,3,1125,3 days ago,23,53,83,173
66535,1,14,6 months ago,29,59,89,364
66536,1,7,4 months ago,0,0,0,0
66537,5,14,17 months ago,0,0,0,0
66538,5,1125,4 months ago,0,0,0,0
66539,20,35,6 months ago,30,60,90,365
66540,1,1125,4 weeks ago,3,28,58,84
66541,1,3,today,3,3,3,3
66542,2,1125,2 weeks ago,15,45,75,165
66543,3,1125,today,5,15,32,39
66544,1,1125,2 months ago,26,56,86,361
66545,2,1825,2 months ago,0,28,58,333
66546,2,1125,4 weeks ago,13,43,73,348
66547,1,1125,18 months ago,0,0,0,0
