Tweet_Id,Text,cre_tms,location,retweet_cnt,fav_cnt,user_name,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,urls
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,Emilyalbama,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,gina_scoop,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,ClintKatt,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,Crow4J,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,cristanoisbest,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,Bastard_Insect,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,AcquittaI,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,YourBadHoe,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,UcheagwuHenrito,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,waltervaldez256,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,Uchybaba,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,Vibhu062912,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,viewsfromdbod,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,tweetaparrot,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,thengo31,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,suiker_bossie,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,selltwiacc,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,pushpanjeetprem,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,mugo_kenny,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
